[2026-05-06 18:47:45.248] schedule_summary_tick took 25.2ms | second_changed=1 blink=0
[2026-05-06 18:47:46.264] schedule_summary_tick took 30.3ms | second_changed=1 blink=0
[2026-05-06 18:47:47.249] schedule_summary_tick took 28.2ms | second_changed=1 blink=0
[2026-05-06 18:47:48.253] schedule_summary_tick took 23.8ms | second_changed=1 blink=0
[2026-05-06 18:47:49.244] schedule_summary_tick took 23.0ms | second_changed=1 blink=0
[2026-05-06 18:47:50.248] schedule_summary_tick took 20.9ms | second_changed=1 blink=0
[2026-05-06 18:47:51.259] schedule_summary_tick took 25.0ms | second_changed=1 blink=0
[2026-05-06 18:47:52.248] schedule_summary_tick took 26.3ms | second_changed=1 blink=0
[2026-05-06 18:47:53.254] schedule_summary_tick took 26.3ms | second_changed=1 blink=0
[2026-05-06 18:47:54.249] schedule_summary_tick took 28.6ms | second_changed=1 blink=0
[2026-05-06 18:47:55.260] schedule_summary_tick took 25.1ms | second_changed=1 blink=0
[2026-05-06 18:47:56.250] schedule_summary_tick took 23.8ms | second_changed=1 blink=0
[2026-05-06 18:47:57.259] schedule_summary_tick took 27.7ms | second_changed=1 blink=0
[2026-05-06 18:47:58.250] schedule_summary_tick took 25.7ms | second_changed=1 blink=0
[2026-05-06 18:47:59.261] schedule_summary_tick took 26.9ms | second_changed=1 blink=0
[2026-05-06 18:48:00.251] schedule_summary_tick took 24.9ms | second_changed=1 blink=0
[2026-05-06 18:48:01.256] schedule_summary_tick took 25.8ms | second_changed=1 blink=0
[2026-05-06 18:48:02.254] schedule_summary_tick took 27.5ms | second_changed=1 blink=0
[2026-05-06 18:48:03.248] schedule_summary_tick took 29.0ms | second_changed=1 blink=0
[2026-05-06 18:48:04.250] schedule_summary_tick took 23.0ms | second_changed=1 blink=0
[2026-05-06 18:48:05.258] schedule_summary_tick took 24.6ms | second_changed=1 blink=0
[2026-05-06 18:48:06.244] schedule_summary_tick took 23.6ms | second_changed=1 blink=0
[2026-05-06 18:48:07.248] schedule_summary_tick took 24.0ms | second_changed=1 blink=0
[2026-05-06 18:48:08.259] schedule_summary_tick took 25.2ms | second_changed=1 blink=0
[2026-05-06 18:48:09.250] schedule_summary_tick took 23.8ms | second_changed=1 blink=0
[2026-05-06 18:48:10.245] schedule_summary_tick took 23.6ms | second_changed=1 blink=0
[2026-05-06 18:48:11.251] schedule_summary_tick took 23.6ms | second_changed=1 blink=0
[2026-05-06 18:48:12.257] schedule_summary_tick took 23.3ms | second_changed=1 blink=0
[2026-05-06 18:48:13.260] schedule_summary_tick took 40.6ms | second_changed=1 blink=0
[2026-05-06 18:48:14.249] schedule_summary_tick took 25.4ms | second_changed=1 blink=0
[2026-05-06 18:48:15.256] schedule_summary_tick took 26.0ms | second_changed=1 blink=0
[2026-05-06 18:48:16.257] schedule_summary_tick took 23.1ms | second_changed=1 blink=0
[2026-05-06 18:48:17.253] schedule_summary_tick took 28.9ms | second_changed=1 blink=0
[2026-05-06 18:48:18.252] schedule_summary_tick took 26.6ms | second_changed=1 blink=0
[2026-05-06 18:48:19.248] schedule_summary_tick took 22.4ms | second_changed=1 blink=0
[2026-05-06 18:48:20.256] schedule_summary_tick took 24.5ms | second_changed=1 blink=0
[2026-05-06 18:48:21.245] schedule_summary_tick took 24.1ms | second_changed=1 blink=0
[2026-05-06 18:48:22.256] schedule_summary_tick took 26.3ms | second_changed=1 blink=0
[2026-05-06 18:48:23.255] schedule_summary_tick took 25.1ms | second_changed=1 blink=0
[2026-05-06 18:48:24.250] schedule_summary_tick took 26.3ms | second_changed=1 blink=0
[2026-05-06 18:48:25.261] schedule_summary_tick took 26.4ms | second_changed=1 blink=0
[2026-05-06 18:48:26.296] schedule_summary_tick took 63.7ms | second_changed=1 blink=0
[2026-05-06 18:48:27.250] schedule_summary_tick took 25.6ms | second_changed=1 blink=0
[2026-05-06 18:48:28.255] schedule_summary_tick took 23.9ms | second_changed=1 blink=0
[2026-05-06 18:48:29.249] schedule_summary_tick took 27.7ms | second_changed=1 blink=0
[2026-05-06 18:48:30.247] schedule_summary_tick took 26.5ms | second_changed=1 blink=0
[2026-05-06 18:48:31.256] schedule_summary_tick took 24.6ms | second_changed=1 blink=0
[2026-05-06 18:48:32.247] schedule_summary_tick took 25.9ms | second_changed=1 blink=0
[2026-05-06 18:48:33.255] schedule_summary_tick took 30.0ms | second_changed=1 blink=0
[2026-05-06 18:48:34.254] schedule_summary_tick took 28.1ms | second_changed=1 blink=0
[2026-05-06 18:48:35.256] schedule_summary_tick took 24.8ms | second_changed=1 blink=0
[2026-05-06 18:48:36.260] schedule_summary_tick took 26.2ms | second_changed=1 blink=0
[2026-05-06 18:48:37.257] schedule_summary_tick took 30.5ms | second_changed=1 blink=0
[2026-05-06 18:48:38.249] schedule_summary_tick took 28.5ms | second_changed=1 blink=0
[2026-05-06 18:48:39.252] schedule_summary_tick took 27.1ms | second_changed=1 blink=0
[2026-05-06 18:48:40.256] schedule_summary_tick took 24.7ms | second_changed=1 blink=0
[2026-05-06 18:48:41.251] schedule_summary_tick took 24.5ms | second_changed=1 blink=0
[2026-05-06 18:48:42.246] schedule_summary_tick took 24.4ms | second_changed=1 blink=0
[2026-05-06 18:48:43.243] schedule_summary_tick took 23.1ms | second_changed=1 blink=0
[2026-05-06 18:48:44.250] schedule_summary_tick took 23.9ms | second_changed=1 blink=0
[2026-05-06 18:48:45.262] schedule_summary_tick took 26.5ms | second_changed=1 blink=0
[2026-05-06 18:48:46.258] schedule_summary_tick took 23.1ms | second_changed=1 blink=0
